--file start
DROP TABLE TableThree
CREATE TABLE TableThree(ID int PRIMARY KEY,A int,C int,F int,G int)
INSERT INTO TableThree VALUES(0,0,0,0,0)
INSERT INTO TableThree VALUES(1,0,1,1,0)
INSERT INTO TableThree VALUES(2,1,0,0,0)
INSERT INTO TableThree VALUES(3,0,1,1,0)
INSERT INTO TableThree VALUES(4,0,0,1,0)
INSERT INTO TableThree VALUES(5,0,0,0,0)
INSERT INTO TableThree VALUES(6,0,0,1,0)
INSERT INTO TableThree VALUES(7,1,1,0,1)
INSERT INTO TableThree VALUES(8,0,0,1,1)
INSERT INTO TableThree VALUES(9,0,1,0,1)
INSERT INTO TableThree VALUES(10,1,0,1,0)
INSERT INTO TableThree VALUES(11,0,1,1,1)
INSERT INTO TableThree VALUES(12,0,0,0,0)
INSERT INTO TableThree VALUES(13,0,1,0,0)
INSERT INTO TableThree VALUES(14,1,0,0,0)
INSERT INTO TableThree VALUES(15,1,0,1,0)
INSERT INTO TableThree VALUES(16,0,0,1,0)
INSERT INTO TableThree VALUES(17,1,0,0,1)
INSERT INTO TableThree VALUES(18,0,0,1,1)
INSERT INTO TableThree VALUES(19,0,0,1,0)
INSERT INTO TableThree VALUES(20,0,1,1,1)
INSERT INTO TableThree VALUES(21,1,0,0,1)
INSERT INTO TableThree VALUES(22,1,1,1,0)
INSERT INTO TableThree VALUES(23,0,1,1,1)
INSERT INTO TableThree VALUES(24,0,1,1,1)
INSERT INTO TableThree VALUES(25,0,0,1,1)
INSERT INTO TableThree VALUES(26,0,0,0,0)
INSERT INTO TableThree VALUES(27,1,0,0,0)
INSERT INTO TableThree VALUES(28,1,0,1,0)
INSERT INTO TableThree VALUES(29,0,1,1,1)
INSERT INTO TableThree VALUES(30,0,1,1,0)
INSERT INTO TableThree VALUES(31,1,0,0,1)
INSERT INTO TableThree VALUES(32,1,1,0,0)
INSERT INTO TableThree VALUES(33,1,1,0,0)
INSERT INTO TableThree VALUES(34,0,1,1,1)
INSERT INTO TableThree VALUES(35,0,1,0,1)
INSERT INTO TableThree VALUES(36,1,1,1,0)
INSERT INTO TableThree VALUES(37,1,1,1,1)
INSERT INTO TableThree VALUES(38,0,0,0,1)
INSERT INTO TableThree VALUES(39,0,1,0,1)
INSERT INTO TableThree VALUES(40,0,1,0,0)
INSERT INTO TableThree VALUES(41,0,1,1,1)
INSERT INTO TableThree VALUES(42,1,1,0,0)
INSERT INTO TableThree VALUES(43,1,1,1,1)
INSERT INTO TableThree VALUES(44,0,0,0,0)
INSERT INTO TableThree VALUES(45,1,0,1,1)
INSERT INTO TableThree VALUES(46,1,1,1,1)
INSERT INTO TableThree VALUES(47,1,1,0,1)
INSERT INTO TableThree VALUES(48,1,0,1,1)
INSERT INTO TableThree VALUES(49,1,0,0,1)
INSERT INTO TableThree VALUES(50,0,0,0,0)
INSERT INTO TableThree VALUES(51,0,0,0,1)
INSERT INTO TableThree VALUES(52,1,0,0,1)
INSERT INTO TableThree VALUES(53,1,0,1,0)
INSERT INTO TableThree VALUES(54,0,1,1,1)
INSERT INTO TableThree VALUES(55,0,1,1,1)
INSERT INTO TableThree VALUES(56,0,1,0,1)
INSERT INTO TableThree VALUES(57,1,1,1,1)
INSERT INTO TableThree VALUES(58,1,1,0,1)
INSERT INTO TableThree VALUES(59,1,1,0,0)
INSERT INTO TableThree VALUES(60,1,0,0,1)
INSERT INTO TableThree VALUES(61,1,0,1,1)
INSERT INTO TableThree VALUES(62,1,0,0,0)
INSERT INTO TableThree VALUES(63,0,0,1,1)
INSERT INTO TableThree VALUES(64,0,0,0,1)
INSERT INTO TableThree VALUES(65,1,0,0,1)
INSERT INTO TableThree VALUES(66,0,0,0,0)
INSERT INTO TableThree VALUES(67,0,1,1,0)
INSERT INTO TableThree VALUES(68,0,0,1,1)
INSERT INTO TableThree VALUES(69,0,0,1,1)
INSERT INTO TableThree VALUES(70,0,1,0,0)
INSERT INTO TableThree VALUES(71,1,0,1,0)
INSERT INTO TableThree VALUES(72,0,1,0,0)
INSERT INTO TableThree VALUES(73,1,0,1,0)
INSERT INTO TableThree VALUES(74,1,1,1,1)
INSERT INTO TableThree VALUES(75,1,1,1,1)
INSERT INTO TableThree VALUES(76,1,0,1,0)
INSERT INTO TableThree VALUES(77,1,1,0,1)
INSERT INTO TableThree VALUES(78,1,1,1,1)
INSERT INTO TableThree VALUES(79,0,1,0,0)
INSERT INTO TableThree VALUES(80,0,0,0,0)
INSERT INTO TableThree VALUES(81,1,1,0,1)
INSERT INTO TableThree VALUES(82,1,1,1,0)
INSERT INTO TableThree VALUES(83,1,0,1,0)
INSERT INTO TableThree VALUES(84,0,1,1,0)
INSERT INTO TableThree VALUES(85,1,1,1,1)
INSERT INTO TableThree VALUES(86,1,0,0,0)
INSERT INTO TableThree VALUES(87,0,0,0,1)
INSERT INTO TableThree VALUES(88,1,1,0,0)
INSERT INTO TableThree VALUES(89,0,0,1,0)
INSERT INTO TableThree VALUES(90,0,0,0,0)
INSERT INTO TableThree VALUES(91,1,0,1,1)
INSERT INTO TableThree VALUES(92,0,1,1,1)
INSERT INTO TableThree VALUES(93,0,1,1,1)
INSERT INTO TableThree VALUES(94,1,1,0,1)
INSERT INTO TableThree VALUES(95,1,0,1,0)
INSERT INTO TableThree VALUES(96,0,1,0,0)
INSERT INTO TableThree VALUES(97,1,1,0,1)
INSERT INTO TableThree VALUES(98,0,1,1,0)
INSERT INTO TableThree VALUES(99,0,1,1,0)
